Symbol,Nazwa
GNB,GETINOBLE
GNG,GENRG
GNR,GENERGY
GOB,GOBARTO
GOL,GOLAB
GOP,GAMEOPS
GOV,GOVENA
GPW,GPW
GRC,GRUPAREC
GRE,GREENENER
GRM,GREMPCO
GRN,GRODNO
GTC,GTC
GTF,GOTFI
GTK,GEOTREKK
GTN,GETIN
GTP,GEOTERM
GTS,GEOTRANS
GTY,GTRINITY
GWR,GWARANT
GX1,GENXONE
H4F,H4F
HDR,HYDROTOR
HEF,HEFAL
HEL,HELIO
HLD,HOLLYWOOD
HMI,HMINWEST
HMP,HEMP
HOR,HORTICO
HPS,HYDRAPRES
HRC,GRUPAHRC
HRL,HORNIGOLD
HRP,HARPER
HRS,HERKULES
HRT,HURTIMEX
HUB,HUBSTYLE
I2D,I2DEV
IAG,IALBGR
IBC,IBCPOLSKA
IBS,IBSM
ICA,INCANA
ICD,ICPD
ICE,MEDINICE
IDA,IDEABANK
IDG,INDYGO
IDH,IDH
IDM,IDMSA
IFA,INFRA
IFC,IFCAPITAL
IFI,IFIRMA
IFM,IFM
IFR,IFSA
IGN,INNOGENE
IGS,INTELGSOL
IGT,IGORIA
IIA,IIAAV
IMC,IMCOMPANY
IMG,IMAGIS
IMP,IMPERA
IMS,IMS
INB,INBOOK
INC,INC
INF,INTERFERI
ING,INGBSK
INK,INSTALKRK
INL,INTROL
INM,INVENTION
INP,INPRO
INS,INDOS
INT,INTERNITY
INV,INVISTA
INW,INWESTPL
IOD,IPODS
IPE,IPOPEMA
IPF,PROVIDENT
IPL,IMPEL
IPO,INTERSPPL
IRL,INTERAOLT
ISG,ISIAG
IST,INFOSCAN
ITB,INTERBUD
ITL,INTELIWIS
ITM,ITMTRADE
IUS,IU
IVE,INVESTEKO
IZB,IZOBLOK
IZO,IZOLACJA
IZS,IZOSTAL
JJB,JUJUBEE
JJO,JJAUTO
JRH,JRHOLDING
JSW,JSW
JWA,JWA
JWC,JWCONSTR
JWW,JWWINVEST
K2I,K2INTERNT
KAN,KANIA
KBD,KBDOM
KBJ,KBJ
KBT,KLABATER
